City,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006
Frederikshavn,23501,23402,23345,23156,23309,23295,23339,23331,23511,23551,23499,23636
Korsør,14702,14603,14392,14369,14501,14538,14412,14439,14589,14659,14773,14850
Rønne,13723,13639,13579,13568,13730,13887,13904,13924,14031,14056,13990,14043
Nakskov,12758,12688,12665,12866,13243,13332,13560,13697,13886,14013,14051,14240
Struer,10375,10415,10285,10261,10427,10544,10572,10797,10873,10846,10809,10957
Nykøbing M,9135,9012,9014,9031,9040,9222,9154,9172,9198,9189,9136,9225
Hundested,8588,8595,8543,8579,8632,8732,8861,8832,8867,8917,8874,8892
Skagen,8088,8124,8211,8198,8220,8347,8515,8636,8750,8941,9187,9380
Tønder,7693,7587,7543,7595,7572,7685,7690,7743,7787,7831,7792,7896
Vojens,7627,7579,7650,7655,7611,7666,7694,7735,7714,7749,7843,7864
Faaborg,7097,7178,7150,7178,7249,7200,7178,7217,7207,7222,7265,7234
Lemvig,6936,6929,6966,7031,7141,7131,7140,7195,7151,7148,7134,7128
Nordborg,5970,5967,6079,6191,6447,6650,6730,6860,7089,7157,7175,7248
Hirtshals,5880,5910,5879,5959,6028,6140,6194,6268,6310,6346,6398,6475
Hadsund,4857,4869,4913,4883,4912,4994,5040,5028,5016,5068,5040,5062
Rudkøbing,4586,4529,4513,4537,4547,4646,4697,4641,4658,4647,4692,4717
Sakskøbing,4545,4541,4519,4539,4565,4708,4701,4732,4784,4762,4804,4815
Padborg,4389,4393,4406,4455,4459,4476,4486,4552,4607,4585,4581,4534
Vodskov,4292,4381,4456,4371,4295,4374,4399,4414,4370,4469,4371,4374
Løgstør,4104,4114,4220,4284,4271,4300,4357,4412,4367,4389,4409,4434
Ølgod,3892,3857,3853,3831,3920,3926,3950,4021,3995,3965,3974,4042
Stege,3813,3844,3841,3830,3826,3835,3823,3856,3928,3973,3976,4043
Nexø,3654,3647,3642,3686,3660,3700,3762,3732,3769,3833,3867,3772
Gistrup,3579,3582,3544,3509,3501,3478,3573,3550,3570,3590,3631,3660
Toftlund,3283,3281,3232,3297,3311,3328,3324,3284,3343,3352,3344,3361
Augustenborg,3245,3288,3270,3284,3331,3233,3279,3255,3310,3315,3322,3247
Thurø,3232,3223,3244,3270,3302,3328,3383,3413,3427,3410,3425,3377
Sindal,3069,3055,3058,3066,3079,3090,3081,3036,3043,3052,3036,3097
Hvide Sande,3045,3059,3015,3046,3077,3059,3110,3170,3156,3132,3156,3197
Sundby,2843,2820,2797,2847,2817,2842,2872,2873,2873,2905,2887,2873
Tinglev,2803,2761,2749,2729,2771,2784,2816,2844,2867,2843,2837,2842
Hurup,2745,2773,2757,2765,2772,2789,2803,2752,2789,2753,2765,2794
Brovst,2733,2770,2763,2755,2776,2804,2778,2783,2781,2805,2777,2749
Kibæk,2624,2648,2629,2646,2653,2664,2662,2668,2656,2672,2652,2653
Mariager,2490,2510,2527,2558,2558,2589,2555,2519,2543,2517,2516,2503
