No.,City,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,
1,Copenhagen,1295686,1280371,1263698,1246611,1230728,1213822,1199224,1181239,1167569,1153615,1145804,1084885,
2,Aarhus,269022,264716,261570,259754,256018,252213,249709,242914,239865,237551,228123,228674,
3,Odense,176683,175245,173814,172512,170327,168798,167615,166305,158678,158163,158453,152060,
4,Aalborg,113417,112194,110495,109092,106916,104855,103545,102312,101497,100873,100731,100617,
5,Esbjerg,72261,72151,72060,71618,71491,71579,71576,71459,71025,70880,71129,71886,
6,Randers,62563,62342,61664,61163,60895,61121,60656,60227,59842,59565,59391,55909,
7,Kolding,60300,59712,58757,58021,57583,57540,57197,57087,56249,55596,55407,55045,
8,Horsens,58480,57517,56536,55884,55253,54450,53807,52998,52518,51670,51112,50983,
9,Vejle,55876,54862,53973,53230,52449,51804,51341,50832,50654,50213,49943,49928,
10,Roskilde,50393,50046,49297,48721,48186,47828,47117,46701,46292,45824,46071,45807,
11,Herning,49229,48531,47911,47765,47271,46873,46279,45890,45470,44763,44481,44437,
12,Hoersholm,47294,47000,46717,46229,46104,45865,45873,45816,33039,32886,33293,37100,
13,Helsingoer,47123,46829,46492,46407,46474,46368,46349,46189,46101,34350,34339,35075,
14,Silkeborg,44333,43885,43351,43158,42910,42807,42724,42396,41979,41674,41619,41300,
15,Naestved,43234,42979,42588,42424,42141,41857,41667,41729,41717,41810,41510,41158,
16,Fredericia,40461,40248,40046,39922,39914,39797,39716,39513,39484,39391,39356,37074,
17,Viborg,40371,39856,39228,38572,38261,37635,35893,35656,35108,34831,34522,34114,
18,Koege,36864,36831,36424,35768,35618,35295,35104,34937,34733,34792,34735,34476,
19,Holstebro,35867,35392,35108,34873,34711,34378,34241,34024,34062,33939,33548,31955,
20,Taastrup,34154,33971,33440,33121,32984,32719,32406,32260,32102,31917,31461,31068,
21,Slagelse,33433,33000,32333,32005,32126,32133,31979,31918,31682,31879,31914,31778,
22,Hilleroed,32278,31897,31519,31191,30865,30570,30350,29951,29683,29296,29382,28941,
23,Holbaek,28134,27579,26961,26942,27096,27195,27055,27157,26623,26267,25987,25622,
24,Soenderborg,27826,27595,27419,27434,27337,27304,27237,27194,27179,27286,27371,27391,
25,Svendborg,27281,27074,26804,26672,26783,26897,27009,27113,27179,27318,27263,27199,
26,Hjoerring,25764,25626,25426,25071,24982,24867,24762,24892,24963,24815,24729,24813,
27,Frederikshavn,23501,23402,23345,23156,23309,23295,23339,23331,23511,23551,23499,23636,
